,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,24103.0,12991.0,7078.0,2408.0,878.0,343,184,97,63,26,34,1
40, KUJAWSKO-POMORSKIE           ,20226.0,10278.0,6159.0,2153.0,841.0,404,173,102,55,28,30,3
70, LUBELSKIE                    ,21346.0,10218.0,6640.0,2483.0,1050.0,472,207,114,67,43,51,1
101, LUBUSKIE                     ,9327.0,4758.0,2839.0,999.0,352.0,181,95,51,25,9,17,1
122, ŁÓDZKIE                      ,21889.0,11575.0,6917.0,2082.0,776.0,288,123,59,29,16,22,2
153, MAŁOPOLSKIE                  ,32018.0,14945.0,10027.0,4007.0,1529.0,751,332,195,107,62,62,1
182, MAZOWIECKIE                  ,46791.0,24006.0,14659.0,4883.0,1703.0,767,370,177,109,55,61,1
231, OPOLSKIE                     ,8186.0,3891.0,2653.0,936.0,364.0,164,79,45,17,17,18,2
250, PODKARPACKIE                 ,20599.0,9311.0,6507.0,2651.0,1128.0,504,230,125,60,44,39,-
282, PODLASKIE                    ,10848.0,4980.0,3391.0,1358.0,588.0,263,146,68,25,18,8,3
306, POMORSKIE                    ,22511.0,11168.0,6765.0,2504.0,1047.0,468,241,151,80,34,52,1
333, ŚLĄSKIE                      ,39366.0,20695.0,12271.0,3943.0,1332.0,582,289,130,49,28,41,6
376, ŚWIĘTOKRZYSKIE               ,11609.0,5862.0,3638.0,1251.0,461.0,185,90,49,33,20,18,2
397, WARMIŃSKO-MAZURSKIE          ,14570.0,7196.0,4281.0,1691.0,642.0,351,187,94,51,33,44,-
425, WIELKOPOLSKIE                ,33620.0,17010.0,10548.0,3629.0,1310.0,549,287,137,69,34,40,7
467, ZACHODNIOPOMORSKIE           ,15776.0,8283.0,4681.0,1560.0,615.0,297,155,85,41,28,31,-
