,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,25872.0,14064.0,7989.0,2397.0,789.0,321,142,91,32,21,25,1
40, KUJAWSKO-POMORSKIE           ,20544.0,10554.0,6471.0,2092.0,739.0,349,145,85,48,23,38,-
70, LUBELSKIE                    ,21415.0,10432.0,6802.0,2466.0,902.0,425,188,83,56,27,34,-
101, LUBUSKIE                     ,9958.0,5217.0,3153.0,973.0,341.0,132,70,29,16,9,18,-
122, ŁÓDZKIE                      ,22698.0,12110.0,7434.0,2106.0,628.0,222,88,52,36,9,12,1
153, MAŁOPOLSKIE                  ,32635.0,15492.0,10705.0,3858.0,1436.0,557,267,143,80,34,62,1
182, MAZOWIECKIE                  ,50195.0,26342.0,16297.0,4806.0,1551.0,615,292,137,67,40,48,-
231, OPOLSKIE                     ,8528.0,4258.0,2750.0,904.0,348.0,128,67,35,18,8,12,-
250, PODKARPACKIE                 ,20622.0,9634.0,6626.0,2627.0,893.0,446,187,94,52,34,29,-
282, PODLASKIE                    ,11063.0,5472.0,3441.0,1279.0,433.0,220,102,59,27,11,16,3
306, POMORSKIE                    ,23567.0,11724.0,7491.0,2534.0,968.0,410,210,111,57,30,32,-
333, ŚLĄSKIE                      ,40980.0,21863.0,13208.0,3763.0,1229.0,467,228,118,56,26,21,1
376, ŚWIĘTOKRZYSKIE               ,11538.0,5866.0,3805.0,1163.0,384.0,155,79,35,21,17,13,-
397, WARMIŃSKO-MAZURSKIE          ,14849.0,7464.0,4670.0,1542.0,588.0,260,143,92,38,19,33,-
425, WIELKOPOLSKIE                ,35445.0,18175.0,11643.0,3578.0,1181.0,475,184,90,62,28,29,-
467, ZACHODNIOPOMORSKIE           ,16186.0,8546.0,5075.0,1467.0,560.0,253,144,68,26,20,27,-
