,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,29964.0,15782.0,10232.0,2642.0,778.0,283,126,47,32,14,20,8
40, KUJAWSKO-POMORSKIE           ,23143.0,11790.0,7867.0,2275.0,672.0,277,133,52,29,21,19,8
70, LUBELSKIE                    ,23065.0,11401.0,7881.0,2475.0,758.0,298,118,65,36,17,15,1
101, LUBUSKIE                     ,11542.0,5793.0,3979.0,1187.0,344.0,135,47,22,20,7,7,1
122, ŁÓDZKIE                      ,26175.0,13858.0,9018.0,2356.0,595.0,195,84,32,17,11,7,2
153, MAŁOPOLSKIE                  ,37424.0,18200.0,12842.0,4231.0,1310.0,453,183,82,60,28,29,6
182, MAZOWIECKIE                  ,60106.0,30827.0,21040.0,5703.0,1510.0,541,232,110,57,27,33,26
231, OPOLSKIE                     ,9322.0,4787.0,3119.0,939.0,258.0,109,54,29,12,7,7,1
250, PODKARPACKIE                 ,22440.0,10849.0,7667.0,2570.0,790.0,324,117,60,26,11,23,3
282, PODLASKIE                    ,12257.0,6044.0,4164.0,1306.0,440.0,146,76,43,15,9,10,4
306, POMORSKIE                    ,27444.0,13536.0,9487.0,2885.0,903.0,311,149,74,39,31,16,13
333, ŚLĄSKIE                      ,48071.0,25440.0,16432.0,4246.0,1160.0,440,183,80,51,17,15,7
376, ŚWIĘTOKRZYSKIE               ,12812.0,6480.0,4538.0,1196.0,339.0,115,56,34,23,9,14,8
397, WARMIŃSKO-MAZURSKIE          ,16599.0,8257.0,5553.0,1736.0,571.0,251,127,49,23,13,18,1
425, WIELKOPOLSKIE                ,41043.0,21316.0,14192.0,3841.0,1019.0,348,163,80,42,18,19,5
467, ZACHODNIOPOMORSKIE           ,17930.0,9153.0,6036.0,1685.0,601.0,222,125,49,26,11,17,5
