,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,26258.0,12267.0,9495.0,2499.0,587.0,219,73,50,17,12,6,1033
41, KUJAWSKO-POMORSKIE           ,19190.0,9002.0,7219.0,2046.0,603.0,208,58,28,11,4,4,7
71, LUBELSKIE                    ,19715.0,9187.0,7294.0,2211.0,645.0,212,83,34,17,9,10,13
102, LUBUSKIE                     ,9420.0,4178.0,3594.0,985.0,256.0,91,47,15,8,6,2,238
123, ŁÓDZKIE                      ,22113.0,10863.0,8297.0,1988.0,480.0,144,68,24,15,2,5,227
154, MAŁOPOLSKIE                  ,34721.0,15817.0,13092.0,4284.0,1017.0,281,117,46,29,12,13,13
183, MAZOWIECKIE                  ,57456.0,27121.0,21698.0,5895.0,1389.0,426,162,83,47,11,9,615
232, OPOLSKIE                     ,8289.0,3840.0,3254.0,855.0,206.0,71,19,8,8,4,4,20
251, PODKARPACKIE                 ,19566.0,9205.0,7172.0,2284.0,586.0,183,74,35,9,6,6,6
283, PODLASKIE                    ,10825.0,5078.0,4023.0,1220.0,313.0,107,38,18,9,3,4,12
307, POMORSKIE                    ,24596.0,11361.0,9111.0,2850.0,771.0,283,116,44,26,15,5,14
334, ŚLĄSKIE                      ,41611.0,20004.0,15779.0,4160.0,1056.0,335,141,54,31,12,11,28
377, ŚWIĘTOKRZYSKIE               ,10579.0,5129.0,4054.0,998.0,271.0,72,24,9,7,3,4,8
398, WARMIŃSKO-MAZURSKIE          ,13121.0,6112.0,4834.0,1442.0,439.0,152,74,30,19,5,5,9
426, WIELKOPOLSKIE                ,36760.0,17308.0,14210.0,3784.0,941.0,292,110,48,17,8,7,35
468, ZACHODNIOPOMORSKIE           ,15088.0,7197.0,5555.0,1538.0,435.0,168,70,44,12,12,7,50
