,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,25046.0,13370.0,7731.0,2426.0,798.0,368,181,79,43,22,28,-
40, KUJAWSKO-POMORSKIE           ,20158.0,10325.0,6212.0,2075.0,804.0,358,182,88,49,26,38,1
70, LUBELSKIE                    ,20893.0,10204.0,6444.0,2445.0,990.0,375,197,110,56,36,35,1
101, LUBUSKIE                     ,9901.0,5146.0,3073.0,996.0,377.0,160,73,35,21,13,6,1
122, ŁÓDZKIE                      ,22595.0,11945.0,7304.0,2139.0,672.0,303,113,62,20,20,15,2
153, MAŁOPOLSKIE                  ,32112.0,15212.0,10281.0,3856.0,1421.0,615,353,178,77,55,61,3
182, MAZOWIECKIE                  ,48581.0,25282.0,15316.0,4879.0,1652.0,722,374,164,91,47,54,-
231, OPOLSKIE                     ,8253.0,4087.0,2580.0,892.0,374.0,157,75,31,30,13,14,-
250, PODKARPACKIE                 ,20624.0,9346.0,6660.0,2610.0,1057.0,459,237,121,62,34,37,1
282, PODLASKIE                    ,10740.0,4963.0,3476.0,1252.0,540.0,258,113,64,27,23,23,1
306, POMORSKIE                    ,22954.0,11291.0,7169.0,2583.0,1021.0,396,216,119,59,38,62,-
333, ŚLĄSKIE                      ,40366.0,21582.0,12631.0,3817.0,1288.0,534,263,127,51,32,40,1
376, ŚWIĘTOKRZYSKIE               ,11337.0,5768.0,3561.0,1211.0,404.0,185,85,57,30,14,22,-
397, WARMIŃSKO-MAZURSKIE          ,14585.0,7248.0,4467.0,1592.0,630.0,291,162,78,47,28,42,-
425, WIELKOPOLSKIE                ,33738.0,17274.0,10683.0,3501.0,1266.0,502,247,122,66,39,36,2
467, ZACHODNIOPOMORSKIE           ,16001.0,8390.0,4826.0,1562.0,630.0,285,139,73,47,28,21,-
