,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,27353.0,13794.0,9837.0,2516.0,725.0,272,104,59,20,13,13,-
40, KUJAWSKO-POMORSKIE           ,20857.0,10182.0,7395.0,2157.0,669.0,264,104,43,24,10,9,-
70, LUBELSKIE                    ,21297.0,10088.0,7627.0,2394.0,713.0,259,105,58,31,9,13,-
101, LUBUSKIE                     ,10421.0,5079.0,3715.0,1085.0,320.0,112,70,22,9,6,2,1
122, ŁÓDZKIE                      ,23951.0,12226.0,8674.0,2181.0,532.0,198,71,35,20,7,7,-
153, MAŁOPOLSKIE                  ,35275.0,16481.0,12901.0,4040.0,1177.0,395,130,73,39,19,20,-
182, MAZOWIECKIE                  ,57493.0,28380.0,21151.0,5656.0,1490.0,451,197,76,43,19,23,7
231, OPOLSKIE                     ,8976.0,4378.0,3233.0,948.0,264.0,77,43,9,8,9,7,-
250, PODKARPACKIE                 ,21143.0,9851.0,7649.0,2490.0,712.0,261,100,34,12,10,24,-
282, PODLASKIE                    ,11199.0,5339.0,4035.0,1233.0,363.0,134,55,16,11,6,7,-
306, POMORSKIE                    ,25148.0,11733.0,9143.0,2826.0,873.0,312,125,58,47,14,13,4
333, ŚLĄSKIE                      ,44759.0,22340.0,16465.0,4167.0,1102.0,386,147,76,42,16,17,1
376, ŚWIĘTOKRZYSKIE               ,11562.0,5815.0,4121.0,1163.0,259.0,112,51,25,5,6,5,-
397, WARMIŃSKO-MAZURSKIE          ,14400.0,6622.0,5191.0,1624.0,545.0,230,101,52,16,6,13,-
425, WIELKOPOLSKIE                ,37981.0,18651.0,14077.0,3724.0,959.0,327,113,72,30,10,15,3
467, ZACHODNIOPOMORSKIE           ,16043.0,7951.0,5560.0,1597.0,510.0,234,98,51,21,10,11,-
