,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,27268.0,13330.0,10128.0,2609.0,743.0,255,108,47,32,5,10,1
41, KUJAWSKO-POMORSKIE           ,20100.0,9518.0,7395.0,2111.0,657.0,254,89,40,19,8,9,-
71, LUBELSKIE                    ,19885.0,9475.0,7254.0,2163.0,605.0,230,75,41,26,11,5,-
102, LUBUSKIE                     ,9750.0,4570.0,3707.0,998.0,279.0,110,46,22,12,3,3,-
123, ŁÓDZKIE                      ,22776.0,11263.0,8544.0,2129.0,536.0,166,73,30,22,7,6,-
154, MAŁOPOLSKIE                  ,34528.0,15734.0,12979.0,4136.0,1068.0,362,147,44,28,17,13,-
183, MAZOWIECKIE                  ,57341.0,27305.0,21840.0,5951.0,1426.0,446,213,78,35,32,14,1
232, OPOLSKIE                     ,8629.0,4108.0,3285.0,871.0,233.0,73,33,15,10,-,1,-
251, PODKARPACKIE                 ,20027.0,9022.0,7535.0,2420.0,698.0,194,86,34,16,13,9,-
283, PODLASKIE                    ,11077.0,5171.0,4063.0,1253.0,359.0,122,51,25,10,8,14,1
307, POMORSKIE                    ,24716.0,11237.0,9179.0,2942.0,786.0,316,143,63,26,12,6,6
334, ŚLĄSKIE                      ,42905.0,20824.0,16208.0,4087.0,1122.0,382,144,71,34,16,15,2
377, ŚWIĘTOKRZYSKIE               ,10789.0,5253.0,4030.0,1090.0,274.0,86,28,15,8,1,4,-
398, WARMIŃSKO-MAZURSKIE          ,14006.0,6649.0,4984.0,1545.0,471.0,204,73,46,25,5,4,-
426, WIELKOPOLSKIE                ,37123.0,17618.0,14251.0,3780.0,929.0,325,120,52,29,11,8,-
468, ZACHODNIOPOMORSKIE           ,15581.0,7526.0,5644.0,1636.0,470.0,164,78,24,21,10,8,-
