,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,29995.0,15780.0,10280.0,2626.0,755.0,259,143,63,37,24,28,-
40, KUJAWSKO-POMORSKIE           ,23349.0,11956.0,7744.0,2330.0,742.0,289,142,56,33,20,37,-
70, LUBELSKIE                    ,23109.0,11565.0,7608.0,2497.0,840.0,313,146,61,40,17,21,1
101, LUBUSKIE                     ,11414.0,5902.0,3915.0,1006.0,331.0,139,62,31,16,7,5,-
122, ŁÓDZKIE                      ,25639.0,13352.0,8832.0,2414.0,646.0,231,88,38,16,5,17,-
153, MAŁOPOLSKIE                  ,37018.0,17827.0,12788.0,4129.0,1326.0,490,214,112,66,29,37,-
182, MAZOWIECKIE                  ,58963.0,30015.0,20759.0,5576.0,1567.0,546,267,112,57,30,34,-
231, OPOLSKIE                     ,9215.0,4656.0,3137.0,948.0,277.0,92,55,15,12,12,11,-
250, PODKARPACKIE                 ,22314.0,10557.0,7586.0,2731.0,869.0,304,128,58,38,21,22,-
282, PODLASKIE                    ,11994.0,5814.0,4126.0,1305.0,425.0,158,84,42,22,11,7,-
306, POMORSKIE                    ,27556.0,13555.0,9443.0,2874.0,940.0,398,155,83,60,21,27,-
333, ŚLĄSKIE                      ,47247.0,24952.0,16099.0,4208.0,1167.0,460,193,90,40,19,19,-
376, ŚWIĘTOKRZYSKIE               ,12790.0,6557.0,4384.0,1210.0,357.0,140,58,27,32,11,13,1
397, WARMIŃSKO-MAZURSKIE          ,16428.0,8214.0,5459.0,1703.0,573.0,249,106,49,34,13,28,-
425, WIELKOPOLSKIE                ,41133.0,21268.0,14212.0,3815.0,1100.0,392,179,85,32,24,25,1
467, ZACHODNIOPOMORSKIE           ,18273.0,9449.0,6179.0,1682.0,537.0,210,109,51,26,16,14,-
