,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,27452.0,13378.0,10332.0,2653.0,711.0,210,95,38,16,9,5,5
41, KUJAWSKO-POMORSKIE           ,19840.0,9092.0,7539.0,2203.0,628.0,229,92,34,15,6,2,-
71, LUBELSKIE                    ,19666.0,8823.0,7609.0,2305.0,576.0,219,73,35,7,13,6,-
102, LUBUSKIE                     ,9734.0,4327.0,3793.0,1074.0,280.0,114,28,21,8,4,4,81
123, ŁÓDZKIE                      ,22794.0,11030.0,8759.0,2230.0,495.0,157,63,29,15,11,4,1
154, MAŁOPOLSKIE                  ,36331.0,16124.0,13838.0,4610.0,1180.0,353,124,53,19,6,15,9
183, MAZOWIECKIE                  ,59586.0,27917.0,23041.0,6419.0,1449.0,476,163,72,26,15,8,-
232, OPOLSKIE                     ,8634.0,4041.0,3310.0,923.0,218.0,75,45,11,4,2,2,3
251, PODKARPACKIE                 ,20262.0,8803.0,7781.0,2705.0,645.0,213,72,25,11,3,4,-
283, PODLASKIE                    ,11373.0,4931.0,4456.0,1408.0,372.0,119,40,22,16,2,7,-
307, POMORSKIE                    ,25865.0,11592.0,9711.0,3187.0,865.0,290,106,62,27,7,16,2
334, ŚLĄSKIE                      ,42742.0,19926.0,16571.0,4480.0,1112.0,381,155,66,22,15,13,1
377, ŚWIĘTOKRZYSKIE               ,10610.0,4930.0,4253.0,1054.0,250.0,82,21,10,5,2,3,-
398, WARMIŃSKO-MAZURSKIE          ,13443.0,5991.0,5129.0,1516.0,482.0,169,81,41,18,10,6,-
426, WIELKOPOLSKIE                ,38237.0,17799.0,14804.0,4082.0,998.0,340,119,50,28,8,7,2
468, ZACHODNIOPOMORSKIE           ,15688.0,7184.0,6041.0,1675.0,474.0,162,76,38,17,10,9,2
