,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,27737.0,14791.0,9069.0,2531.0,783.0,275,147,70,31,17,23,-
40, KUJAWSKO-POMORSKIE           ,21902.0,11097.0,7186.0,2211.0,788.0,294,156,78,44,22,26,-
70, LUBELSKIE                    ,21881.0,10812.0,7191.0,2387.0,803.0,354,138,82,51,30,32,1
101, LUBUSKIE                     ,10841.0,5634.0,3634.0,970.0,356.0,119,61,38,12,8,9,-
122, ŁÓDZKIE                      ,23988.0,12709.0,8160.0,2163.0,574.0,218,92,29,15,10,17,1
153, MAŁOPOLSKIE                  ,34224.0,16321.0,11634.0,3950.0,1296.0,554,229,103,57,33,46,1
182, MAZOWIECKIE                  ,55389.0,28693.0,18634.0,5281.0,1615.0,611,265,144,57,36,51,2
231, OPOLSKIE                     ,8537.0,4317.0,2835.0,873.0,260.0,130,53,32,16,12,9,-
250, PODKARPACKIE                 ,21056.0,9878.0,7005.0,2616.0,904.0,318,159,77,53,21,25,-
282, PODLASKIE                    ,11247.0,5402.0,3787.0,1290.0,423.0,180,90,27,27,6,13,2
306, POMORSKIE                    ,25610.0,12460.0,8731.0,2770.0,889.0,381,174,93,53,29,30,-
333, ŚLĄSKIE                      ,44083.0,23279.0,14725.0,4033.0,1185.0,489,195,80,51,18,25,3
376, ŚWIĘTOKRZYSKIE               ,12041.0,6177.0,3984.0,1219.0,373.0,151,66,36,14,7,13,1
397, WARMIŃSKO-MAZURSKIE          ,15687.0,7768.0,5134.0,1640.0,623.0,264,121,58,30,24,25,-
425, WIELKOPOLSKIE                ,38302.0,19894.0,12914.0,3557.0,1141.0,382,196,104,55,29,28,2
467, ZACHODNIOPOMORSKIE           ,17188.0,8834.0,5646.0,1667.0,584.0,228,101,49,47,19,13,-
