,region,total,1,2,3,4,5,6,7,8,9,10 i dalsze,nieustalona
4, DOLNOŚLĄSKIE                 ,26696.0,14411.0,8639.0,2323.0,746.0,299,135,62,42,17,20,2
40, KUJAWSKO-POMORSKIE           ,21212.0,10847.0,6802.0,2222.0,758.0,282,153,59,37,24,28,-
70, LUBELSKIE                    ,21591.0,10718.0,6877.0,2433.0,828.0,366,185,78,42,30,34,-
101, LUBUSKIE                     ,10487.0,5496.0,3358.0,1001.0,339.0,141,68,44,18,12,10,-
122, ŁÓDZKIE                      ,23505.0,12437.0,7906.0,2124.0,626.0,226,98,42,17,12,17,-
153, MAŁOPOLSKIE                  ,32811.0,15666.0,10989.0,3766.0,1317.0,502,262,144,69,37,59,-
182, MAZOWIECKIE                  ,53003.0,27737.0,17602.0,4979.0,1556.0,578,267,142,66,38,27,11
231, OPOLSKIE                     ,8502.0,4255.0,2815.0,878.0,316.0,128,59,18,17,5,11,-
250, PODKARPACKIE                 ,20384.0,9616.0,6659.0,2505.0,884.0,359,180,78,48,29,26,-
282, PODLASKIE                    ,11092.0,5374.0,3505.0,1266.0,505.0,223,106,56,25,12,20,-
306, POMORSKIE                    ,24386.0,12119.0,7992.0,2621.0,906.0,366,161,102,55,24,40,-
333, ŚLĄSKIE                      ,42682.0,22881.0,13933.0,3743.0,1235.0,493,202,117,36,21,19,2
376, ŚWIĘTOKRZYSKIE               ,11415.0,5939.0,3696.0,1100.0,385.0,137,79,32,19,10,17,1
397, WARMIŃSKO-MAZURSKIE          ,15177.0,7707.0,4724.0,1572.0,615.0,263,125,75,41,29,26,-
425, WIELKOPOLSKIE                ,36610.0,18920.0,12041.0,3608.0,1158.0,456,182,103,59,40,36,7
467, ZACHODNIOPOMORSKIE           ,16482.0,8547.0,5329.0,1565.0,508.0,256,131,67,39,21,19,-
